cell,source,target,arch,seed,T,n_ood,raw_smooth_ece_h_default,ts_smooth_ece_h_default,d_smooth_ece_h_default,raw_smooth_ece_h_0.45,ts_smooth_ece_h_0.45,d_smooth_ece_h_0.45,raw_ece_bin10_eqwidth,ts_ece_bin10_eqwidth,d_ece_bin10_eqwidth,raw_ece_bin15_eqwidth,ts_ece_bin15_eqwidth,d_ece_bin15_eqwidth,raw_ece_bin20_eqwidth,ts_ece_bin20_eqwidth,d_ece_bin20_eqwidth,raw_ece_bin10_eqfreq,ts_ece_bin10_eqfreq,d_ece_bin10_eqfreq,raw_repo_ece_metric_safe,ts_repo_ece_metric_safe,d_repo_ece_metric_safe,raw_brier_reliability10,ts_brier_reliability10,d_brier_reliability10,raw_mce_bin10,ts_mce_bin10,d_mce_bin10,raw_rms_ce_bin10,ts_rms_ce_bin10,d_rms_ce_bin10
chapman_ptbxl_inceptiontime_seed42,chapman,ptbxl,inceptiontime,42,0.9843878285278691,2172,0.2582513919370098,0.26072997195509245,-0.0024785800180826545,0.25862285042155864,0.26110160876514865,-0.002478758343590015,0.2662113557670876,0.2681072917859441,-0.0018959360188565144,0.26116234614320005,0.2678091876967643,-0.006646841553564264,0.2662113557670876,0.26876008678395874,-0.002548731016871142,0.2630718074478277,0.2650901660214232,-0.0020183585735955023,0.2662113557670876,0.2681072917859441,-0.0018959360188565144,0.13527963475291818,0.13644513086664078,-0.0011654961137226028,0.5797150207931412,0.5843786657941035,-0.00466364500096228,0.36780379926384416,0.369384800535486,-0.0015810012716418465
chapman_ptbxl_inceptiontime_seed43,chapman,ptbxl,inceptiontime,43,1.0389052896119755,2172,0.2509206444556,0.24139150987557384,0.009529134580026133,0.25094123367075744,0.24154568904143975,0.009395544629317687,0.2572062794757153,0.24660467627162178,0.010601603204093507,0.2572062794757153,0.24660467627162175,0.010601603204093535,0.2572062794757153,0.24660467627162183,0.010601603204093452,0.25696904555264977,0.2480353935552884,0.008933651997361375,0.2572062794757153,0.24660467627162178,0.010601603204093507,0.11971579250304601,0.11588763835920331,0.003828154143842702,0.576906929668969,0.5685822161204533,0.008324713548515605,0.3459997001487805,0.34042273478603524,0.0055769653627452676
chapman_ptbxl_inceptiontime_seed44,chapman,ptbxl,inceptiontime,44,1.0593890951682814,2172,0.256557058386653,0.24297041012521026,0.013586648261442735,0.2566340011881016,0.24311860848636546,0.013515392701736129,0.2597659951141087,0.24481438453114338,0.014951610582965319,0.2597659951141087,0.24481438453114338,0.014951610582965319,0.2597659951141087,0.2448143845311434,0.014951610582965291,0.2597659951141087,0.24484084197112815,0.01492515314298054,0.2597659951141087,0.24481438453114338,0.014951610582965319,0.11732954263269198,0.10964430511494525,0.007685237517746732,0.5889935032805291,0.5757722186853311,0.013221284595198002,0.34253400215554075,0.33112581463085183,0.011408187524688918
chapman_ptbxl_inceptiontime_seed45,chapman,ptbxl,inceptiontime,45,1.1039696491394246,2172,0.26995880975079706,0.24615275340166565,0.02380605634913141,0.26991610263735877,0.2462135698628389,0.023702532774519863,0.2774850694843419,0.2524350299245688,0.025050039559773085,0.2774850694843419,0.25243502992456873,0.02505003955977314,0.27782484814936287,0.2527288034553986,0.02509604469396426,0.2757090555425068,0.2515178028694287,0.02419125267307809,0.2774850694843419,0.2524350299245688,0.025050039559773085,0.1316800862275142,0.11897791035598021,0.012702175871533994,0.6429170469443004,0.5945549746149823,0.048362072329318107,0.36287750857212714,0.34493174738776977,0.017945761184357367
chapman_ptbxl_inceptiontime_seed46,chapman,ptbxl,inceptiontime,46,1.074181147812797,2172,0.25361701606083714,0.23743566923162598,0.016181346829211157,0.25363437491739327,0.23749752162308452,0.01613685329430875,0.2553667530252789,0.24033659583691555,0.015030157188363341,0.25653025196457,0.23988201617823068,0.016648235786339338,0.25825668570909716,0.2429162513849641,0.015340434324133068,0.25536675302527884,0.23864092771575593,0.016725825309522907,0.2553667530252789,0.24033659583691555,0.015030157188363341,0.10385811494573752,0.09790245993946264,0.005955655006274874,0.5476328907736314,0.5411096680382232,0.006523222735408174,0.32227025141290583,0.3128936879188563,0.009376563494049528
chapman_ptbxl_resnet1d_seed42,chapman,ptbxl,resnet1d,42,1.1246112144742808,2172,0.23839738090003373,0.20751973846556485,0.030877642434468888,0.23826041021840064,0.20740957487839937,0.03085083534000127,0.24607679752794198,0.2159598570511181,0.030116940476823895,0.24643434850330947,0.21694551633735693,0.02948883216595255,0.24730758849208961,0.21595985705111798,0.03134773144097164,0.24607679752794195,0.21595985705111798,0.030116940476823978,0.24607679752794198,0.2159598570511181,0.030116940476823895,0.08205210473770469,0.07126448997385053,0.010787614763854161,0.46060946207941456,0.48966110188118556,-0.029051639801771,0.2864473856360094,0.26695409712879575,0.019493288507213657
chapman_ptbxl_resnet1d_seed43,chapman,ptbxl,resnet1d,43,1.1279481087131698,2172,0.27139997846477487,0.242305057889423,0.029094920575351874,0.27128765820088985,0.2421779514261805,0.029109706774709337,0.2763087146711394,0.24805444148843997,0.028254273182699408,0.2763087146711393,0.24805444148843997,0.028254273182699352,0.2763087146711393,0.24805444148843994,0.02825427318269938,0.2763087146711393,0.24805444148843991,0.028254273182699408,0.2763087146711394,0.24805444148843997,0.028254273182699408,0.07980244055277838,0.06914848785663388,0.010653952696144497,0.34358908234350594,0.3757074994338847,-0.03211841709037877,0.2824932575350753,0.26296100063818184,0.019532256896893474
chapman_ptbxl_resnet1d_seed44,chapman,ptbxl,resnet1d,44,1.0684319939700566,2172,0.2548686548590245,0.23764862856237384,0.017220026296650648,0.2547801849479743,0.23755558175256977,0.017224603195404503,0.2586594083883267,0.24184716802829329,0.016812240360033398,0.2586594083883266,0.24184716802829337,0.016812240360033204,0.2586594083883266,0.24184716802829334,0.01681224036003323,0.25865940838832663,0.24184716802829326,0.01681224036003337,0.2586594083883267,0.24184716802829329,0.016812240360033398,0.07371806502032334,0.06729596351682565,0.0064221015034976875,0.3707412136567606,0.38472649160611716,-0.013985277949356556,0.27151070885017287,0.259414655555205,0.012096053294967879
chapman_ptbxl_resnet1d_seed45,chapman,ptbxl,resnet1d,45,0.9878828624250616,2172,0.24518975021519573,0.2487566381553337,-0.0035668879401379583,0.24506708595498783,0.2486326228913552,-0.0035655369363673806,0.256152116173868,0.25960918346904793,-0.0034570672951799164,0.256152116173868,0.2596091834690479,-0.003457067295179861,0.256152116173868,0.25960918346904793,-0.0034570672951799164,0.256152116173868,0.25960918346904793,-0.0034570672951799164,0.256152116173868,0.25960918346904793,-0.0034570672951799164,0.10777856772112232,0.10911407053865547,-0.0013355028175331546,0.5270221979375098,0.5320358606531204,-0.005013662715610545,0.328296463156584,0.3303241900597888,-0.002027726903204796
chapman_ptbxl_resnet1d_seed46,chapman,ptbxl,resnet1d,46,1.063524700627107,2172,0.23940751252690987,0.22451654367831145,0.014890968848598418,0.2392961319744646,0.2244184903047992,0.014877641669665376,0.24400113204675927,0.22941927773997095,0.014581854306788322,0.24400113204675927,0.22941927773997095,0.014581854306788322,0.24400113204675927,0.22941927773997098,0.014581854306788294,0.24400113204675922,0.22941927773997095,0.014581854306788267,0.24400113204675927,0.22941927773997095,0.014581854306788322,0.07421955904833666,0.06934707453285159,0.004872484515485068,0.3900266820249927,0.40054929214162527,-0.01052261011663258,0.27243266883458866,0.26333832712473054,0.009094341709858123
cpsc_chapman_inceptiontime_seed42,cpsc,chapman,inceptiontime,42,2.750045974462376,3958,0.08565388548109709,0.1609084522262065,-0.07525456674510941,0.08640818682354799,0.16039607784000504,-0.07398789101645704,0.08440723348109636,0.1656547203221367,-0.08124748684104036,0.08440723348109634,0.16919423839306633,-0.08478700491196998,0.08440723348109633,0.16629834806783922,-0.08189111458674289,0.08440723348109636,0.1687491770174473,-0.08434194353635094,0.08440723348109636,0.1656547203221367,-0.08124748684104036,0.009197479919953316,0.0388584949000043,-0.029661014980050984,0.28167924284935,0.298287286926864,-0.01660804407751404,0.09590349274115785,0.19712558154639467,-0.10122208880523682
cpsc_chapman_inceptiontime_seed43,cpsc,chapman,inceptiontime,43,2.8206852650068517,3958,0.14741712095228476,0.09726667034774712,0.05015045060453764,0.1483816711451863,0.09755336844907551,0.050828302696110786,0.14557547844709207,0.11101537461933941,0.03456010382775265,0.145575478447092,0.11101537461933941,0.0345601038277526,0.1471342986930555,0.11281584287792601,0.03431845581512949,0.14557547844709204,0.12153155488958498,0.024043923557507063,0.14557547844709207,0.11101537461933941,0.03456010382775265,0.02483005937550741,0.024496644139017254,0.0003334152364901574,0.2286614075199358,0.3403665903381514,-0.11170518281821562,0.15757556719081614,0.15651403815318693,0.0010615290376292108
