# C4 ResNet1D 8方法对比
# ResNet1D 实验数: 30
# InceptionTime 实验数: 30

## 详细数据（每实验×方法）
arch,pair,seed,method,n_id,n_ood,id_acc,ood_acc,id_deltaECE,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,decay,id_ood_gap,support
inceptiontime,chapman_ptbxl,44,ts,4050,2172,0.8422222222222222,0.49263351749539597,0.005465857482322145,0.013586648261442708,0.01071109233888608,0.015200599365829102,0.004489507026943021,0.008120790779120562,0.008120790779120562,1
inceptiontime,chapman_ptbxl,44,platt,4050,2172,0.8422222222222222,0.49263351749539597,0.007248889324696322,0.02247922653232559,0.01512249927950944,0.028818444733122024,0.013695945453612584,0.01523033720762927,0.01523033720762927,1
inceptiontime,chapman_ptbxl,44,isotonic,4050,2172,0.8422222222222222,0.49263351749539597,0.005888740529699437,0.013463908917129008,0.007041796677439776,0.019869907646105595,0.01282811096866582,0.007575168387429571,0.007575168387429571,1
inceptiontime,chapman_ptbxl,44,vector,4050,2172,0.8422222222222222,0.49263351749539597,0.00705538281242676,0.02056316630363264,0.013121928152773904,0.027742902264833644,0.01462097411205974,0.01350778349120588,0.01350778349120588,1
inceptiontime,chapman_ptbxl,44,matrix,4050,2172,0.8422222222222222,0.49263351749539597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
inceptiontime,chapman_ptbxl,44,dirichlet,4050,2172,0.8422222222222222,0.49263351749539597,0.010529922127411469,0.013661717231402914,0.004750268540409303,0.022157795557212603,0.0174075270168033,0.0031317951039914454,0.0031317951039914454,1
inceptiontime,chapman_ptbxl,44,em_prior,4050,2172,0.8422222222222222,0.49263351749539597,0.05456682365108495,-0.09557128501444201,-0.11116639857618323,-0.07937470678100028,0.031791691795182944,-0.15013810866552696,-0.15013810866552696,0
inceptiontime,chapman_ptbxl,44,bbse_prior,4050,2172,0.8422222222222222,0.49263351749539597,-0.07118324545350019,0.18465097311879516,0.15837436301363936,0.208608660281767,0.05023429726812764,0.2558342185722954,0.2558342185722954,1
inceptiontime,chapman_ptbxl,45,ts,4050,2172,0.8417283950617284,0.4696132596685083,-0.012794384449226311,0.02380605634913141,0.020680592231238467,0.024970369410787667,0.0042897771795492,0.036600440798357725,0.036600440798357725,1
inceptiontime,chapman_ptbxl,45,platt,4050,2172,0.8417283950617284,0.4696132596685083,-0.0060320015061860535,0.02408166080779428,0.021296392763424973,0.02799578736532784,0.006699394601902865,0.030113662313980334,0.030113662313980334,1
inceptiontime,chapman_ptbxl,45,isotonic,4050,2172,0.8417283950617284,0.4696132596685083,-0.0013152456296363843,0.009210567434267347,0.006432935030249257,0.011866951397053687,0.00543401636680443,0.010525813063903731,0.010525813063903731,1
inceptiontime,chapman_ptbxl,45,vector,4050,2172,0.8417283950617284,0.4696132596685083,0.002615498356539906,0.00013571052145239237,-0.0029414416607710025,0.0024554945959211543,0.005396936256692157,-0.0024797878350875137,-0.0024797878350875137,0
inceptiontime,chapman_ptbxl,45,matrix,4050,2172,0.8417283950617284,0.4696132596685083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
inceptiontime,chapman_ptbxl,45,dirichlet,4050,2172,0.8417283950617284,0.4696132596685083,-0.0035523048745653672,0.007974429939913041,0.003678892819162791,0.012150560779472868,0.008471667960310077,0.011526734814478409,0.011526734814478409,1
inceptiontime,chapman_ptbxl,45,em_prior,4050,2172,0.8417283950617284,0.4696132596685083,-0.1058325862312236,-0.1389102700247727,-0.14949846267702369,-0.1261427552924483,0.023355707384575375,-0.033077683793549084,-0.033077683793549084,0
inceptiontime,chapman_ptbxl,45,bbse_prior,4050,2172,0.8417283950617284,0.4696132596685083,0.28838772252044526,0.15657489961451415,0.14839001753776418,0.16470241840422198,0.0163124008664578,-0.1318128229059311,-0.1318128229059311,1
inceptiontime,chapman_ptbxl,46,ts,4050,2172,0.8550617283950618,0.5207182320441989,0.004826317377942242,0.016181346829211157,0.014185151534727955,0.01767190819995134,0.0034867566652233856,0.011355029451268915,0.011355029451268915,1
inceptiontime,chapman_ptbxl,46,platt,4050,2172,0.8550617283950618,0.5207182320441989,0.0046315077382327405,0.016151440602977768,0.010727730454675032,0.021841303600682663,0.011113573146007631,0.011519932864745027,0.011519932864745027,1
inceptiontime,chapman_ptbxl,46,isotonic,4050,2172,0.8550617283950618,0.5207182320441989,0.0041150813882752275,0.007935154251174081,0.0015816356612068415,0.013230967438833372,0.011649331777626531,0.003820072862898854,0.003820072862898854,1
inceptiontime,chapman_ptbxl,46,vector,4050,2172,0.8550617283950618,0.5207182320441989,0.00681469488542333,-0.0006660556926257333,-0.006453804599779949,0.006093454911158931,0.01254725951093888,-0.007480750578049063,-0.007480750578049063,0
inceptiontime,chapman_ptbxl,46,matrix,4050,2172,0.8550617283950618,0.5207182320441989,0.004527115439809468,-0.016614820590345303,-0.020612797433849642,-0.011392628931498616,0.009220168502351026,-0.02114193603015477,-0.02114193603015477,0
inceptiontime,chapman_ptbxl,46,dirichlet,4050,2172,0.8550617283950618,0.5207182320441989,0.00445204209286439,-0.016675444673028672,-0.020855429731376794,-0.01115505424833802,0.009700375483038775,-0.02112748676589306,-0.02112748676589306,0
inceptiontime,chapman_ptbxl,46,em_prior,4050,2172,0.8550617283950618,0.5207182320441989,0.0940977898158287,0.15672429772657737,0.1464676678711862,0.16608614652026238,0.019618478649076176,0.06262650791074867,0.06262650791074867,1
inceptiontime,chapman_ptbxl,46,bbse_prior,4050,2172,0.8550617283950618,0.5207182320441989,0.016865186797904837,0.07079513015297295,0.06451873822614378,0.07668598784424485,0.012167249618101075,0.053929943355068115,0.053929943355068115,1
inceptiontime,chapman_cpsc,42,ts,3958,2057,0.8521980798383022,0.48614487117160915,0.007452065125497615,0.01389545635114825,0.013511645870006275,0.014290309520949911,0.0007786636509436364,0.006443391225650635,0.006443391225650635,1
inceptiontime,chapman_cpsc,42,platt,3958,2057,0.8521980798383022,0.48614487117160915,0.001495582006961465,0.02606911978472054,0.02379384683643271,0.028476397938553392,0.00468255110212068,0.024573537777759075,0.024573537777759075,1
inceptiontime,chapman_cpsc,42,isotonic,3958,2057,0.8521980798383022,0.48614487117160915,0.002441350398258952,0.019934087955071678,0.01723166256425592,0.02324509588334857,0.00601343331909265,0.017492737556812726,0.017492737556812726,1
inceptiontime,chapman_cpsc,42,vector,3958,2057,0.8521980798383022,0.48614487117160915,0.001288290391548045,0.028795591275193766,0.026126628054016204,0.031186000782819433,0.005059372728803229,0.02750730088364572,0.02750730088364572,1
inceptiontime,chapman_cpsc,42,matrix,3958,2057,0.8521980798383022,0.48614487117160915,0.0025713980577178434,0.024116445662685504,0.019848432230572505,0.028388315671054404,0.008539883440481899,0.02154504760496766,0.02154504760496766,1
inceptiontime,chapman_cpsc,42,dirichlet,3958,2057,0.8521980798383022,0.48614487117160915,0.002277314110059943,0.024222102885766872,0.02095651280816829,0.02785838527603221,0.006901872467863921,0.02194478877570693,0.02194478877570693,1
inceptiontime,chapman_cpsc,42,em_prior,3958,2057,0.8521980798383022,0.48614487117160915,-0.01768335299344692,-0.06671261286021807,-0.07629090481023561,-0.05861534853461056,0.017675556275625046,-0.04902925986677115,-0.04902925986677115,0
inceptiontime,chapman_cpsc,42,bbse_prior,3958,2057,0.8521980798383022,0.48614487117160915,-0.0007587165291539355,-0.06326914243867066,-0.07196990804226176,-0.05301006081380187,0.018959847228459892,-0.06251042590951672,-0.06251042590951672,0
inceptiontime,chapman_cpsc,43,ts,3958,2057,0.8367862556846892,0.4842002916869227,0.0012290667652722076,0.010136671399966268,0.00993983300610222,0.010323968024156992,0.00038413501805477195,0.00890760463469406,0.00890760463469406,1
inceptiontime,chapman_cpsc,43,platt,3958,2057,0.8367862556846892,0.4842002916869227,0.01589007767919406,0.005322274204550281,0.0016583883949999336,0.009005499073953054,0.00734711067895312,-0.01056780347464378,-0.01056780347464378,1
inceptiontime,chapman_cpsc,43,isotonic,3958,2057,0.8367862556846892,0.4842002916869227,0.019112514311972247,0.010306685873632815,0.005975067174594236,0.014957451185985125,0.008982384011390888,-0.008805828438339432,-0.008805828438339432,1
inceptiontime,chapman_cpsc,43,vector,3958,2057,0.8367862556846892,0.4842002916869227,0.017867937425328898,0.018749633970301494,0.015325149941152366,0.022673986384785273,0.007348836443632907,0.0008816965449725961,0.0008816965449725961,1
