direction,source,target,seed,shift,n_archs,archs,safety_rate,safety_count,safety_source_summary,raw_ece_mean,raw_brier_rel_mean,brier_impr_mean,ts_delta_ece_mean
chapman->ptbxl,chapman,ptbxl,42,gain0.5,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.41292499793491394,0.21947633046856127,0.003414579902767584,-0.008682926108874084
chapman->ptbxl,chapman,ptbxl,42,gain2.0,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.527689687508201,0.29529022852044096,0.013751531130042488,-0.013862986292050322
chapman->ptbxl,chapman,ptbxl,42,leads1,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.42989707924578996,0.2456863761452731,0.02059489373007497,-0.014189497671232384
chapman->ptbxl,chapman,ptbxl,42,leads2,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.36038193885471287,0.16126222371703391,0.011949301335143325,-0.008895457732243525
chapman->ptbxl,chapman,ptbxl,42,leads3,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.409536572521432,0.19911001160318387,0.012964700054868522,-0.009530573109914009
chapman->ptbxl,chapman,ptbxl,42,leads6,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.2844704634308106,0.1314679706417417,0.004249554615938657,-0.013145695908868951
chapman->ptbxl,chapman,ptbxl,42,noise-6,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.2933800061925197,0.10587869542475986,0.0034700251153450858,-0.008514570586300396
chapman->ptbxl,chapman,ptbxl,42,noise0,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.3824677975700288,0.1968898487779297,0.005422308447154418,-0.012503696304955222
chapman->ptbxl,chapman,ptbxl,42,noise12,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.2663920525576694,0.11759793278383497,0.0045748833004232645,-0.01403106575360634
chapman->ptbxl,chapman,ptbxl,42,noise24,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.24948250766012187,0.10929390123454541,0.0050792284155611045,-0.01421099659271928
chapman->ptbxl,chapman,ptbxl,42,noise6,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.30982726354094264,0.14666636517282966,0.005085099821482544,-0.01360525937563034
chapman->ptbxl,chapman,ptbxl,43,fs125,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.5619430347948899,0.34705802477965414,0.017990770358505714,-0.015866151179467658
chapman->ptbxl,chapman,ptbxl,43,fs250,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.5545043409823902,0.3399430782306061,0.014295338956957532,-0.01383436297764784
chapman->ptbxl,chapman,ptbxl,43,gain0.5,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.38271229141591506,0.20469128513628287,0.008094485693060857,-0.015767346490310252
chapman->ptbxl,chapman,ptbxl,43,gain2.0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3429650314407632,0.1587485898923135,0.012988762209693958,-0.018005850990028188
chapman->ptbxl,chapman,ptbxl,43,leads1,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4379060978774483,0.23624037334414966,0.02706872135914904,-0.02355074959974872
chapman->ptbxl,chapman,ptbxl,43,leads2,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.44394276776604796,0.2589243591299687,0.021120775359233915,-0.019356320574786076
chapman->ptbxl,chapman,ptbxl,43,leads3,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4137609855284446,0.20947721038574346,0.018802771967371443,-0.020617487861640527
chapman->ptbxl,chapman,ptbxl,43,leads6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.32527957912934446,0.15078288255843666,0.009114839283122053,-0.017992319876114424
chapman->ptbxl,chapman,ptbxl,43,noise-6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.275877566734851,0.11197681175086645,0.012178258485338697,-0.018464379918768176
chapman->ptbxl,chapman,ptbxl,43,noise0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.25638948885056545,0.09592882580237251,0.009566075391035753,-0.019653992399123035
chapman->ptbxl,chapman,ptbxl,43,noise12,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.26217645233590725,0.09991189543551428,0.007924660810009192,-0.018923029688181478
chapman->ptbxl,chapman,ptbxl,43,noise24,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2613311140213883,0.09967314092226884,0.0075232498921641786,-0.019329804087076546
chapman->ptbxl,chapman,ptbxl,43,noise6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2658047394590431,0.09958634870361374,0.007871441960836244,-0.019534546506860817
chapman->ptbxl,chapman,ptbxl,44,fs125,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.5582946838530157,0.3533191941594893,0.011320769825671081,-0.012113812217092512
chapman->ptbxl,chapman,ptbxl,44,fs250,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.5618057949514828,0.34345059027155883,0.010442744757161726,-0.010924351512252295
chapman->ptbxl,chapman,ptbxl,44,gain0.5,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.40972852898803325,0.2292411484502726,0.009874178423223481,-0.011314014957829271
chapman->ptbxl,chapman,ptbxl,44,gain2.0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4935508901949262,0.2667913228134815,0.013824852341177127,-0.013590537898697241
chapman->ptbxl,chapman,ptbxl,44,leads1,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.36943015850525,0.18620593043120423,0.013210811489032755,-0.013881522557462972
chapman->ptbxl,chapman,ptbxl,44,leads2,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.31688546931215633,0.13851119549669721,0.008663313524679209,-0.014258890372591343
chapman->ptbxl,chapman,ptbxl,44,leads3,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.26701620946282045,0.10635471094378979,0.00918140387225111,-0.014039008133234929
chapman->ptbxl,chapman,ptbxl,44,leads6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.28752057245562485,0.12019290151049065,0.006170679917516547,-0.01404966518804475
chapman->ptbxl,chapman,ptbxl,44,noise-6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2997499060374909,0.12054238749289399,0.012102879180185794,-0.018099762642148215
chapman->ptbxl,chapman,ptbxl,44,noise0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.25977272648145994,0.0986429271640879,0.010679556159221122,-0.017863832774638974
chapman->ptbxl,chapman,ptbxl,44,noise12,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2522114257208921,0.09422640750576929,0.006947409130082224,-0.014953891460418894
chapman->ptbxl,chapman,ptbxl,44,noise24,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.25472722699313055,0.09451252866097615,0.006649881889455207,-0.015618504666270128
