source,target,arch,seed,stage,n_samples,T_global,T_binned_mean,T_binned_min,T_binned_max,threshold_norm,brier_reliability,brier_resolution,brier_uncertainty,brier_raw,ece,smooth_ece,delta_rel_vs_raw
chapman,ptbxl,resnet1d,43,stage1_ts,2172,1.1279481087131698,,,,0.0,0.06914848785663388,0.0126715039319534,0.24770730102527055,0.30499578937159805,0.24805444148843997,0.242305057889423,-0.010653952696144497
chapman,ptbxl,resnet1d,43,stage2_ts_binned,2172,1.1279481087131698,1.0320954372477087,0.9410640981574317,1.1419582547748615,0.0,0.0715239280542457,0.012990756344548838,0.24770730102527055,0.3081078158618382,0.2567386501711595,0.2511446213339883,-0.008278512498532675
chapman,ptbxl,resnet1d,43,stage3_ts_binned_threshold,2172,1.1279481087131698,1.0320954372477087,0.9410640981574317,1.1419582547748615,0.0,0.0715239280542457,0.012990756344548838,0.24770730102527055,0.3081078158618382,0.2567386501711595,0.2511446213339883,-0.008278512498532675
chapman,ptbxl,resnet1d,44,raw,2172,,,,,0.0,0.07371806502032334,0.011745055308254222,0.2485746941654881,0.3102423709121349,0.2586594083883267,0.2548686548590245,0.0
chapman,ptbxl,resnet1d,44,stage1_ts,2172,1.0684319939700566,,,,0.0,0.06729596351682565,0.012459380956281145,0.2485746941654881,0.30268936680978753,0.24184716802829329,0.23764862856237384,-0.0064221015034976875
chapman,ptbxl,resnet1d,44,stage2_ts_binned,2172,1.0684319939700566,0.8760927494573281,0.3498562035891263,1.0610752297240649,0.0,0.0672013355902429,0.012933991304655711,0.2485746941654881,0.30213544031334977,0.24003488447684235,0.23455823221917424,-0.006516729430080442
chapman,ptbxl,resnet1d,44,stage3_ts_binned_threshold,2172,1.0684319939700566,0.8760927494573281,0.3498562035891263,1.0610752297240649,0.0,0.0672013355902429,0.012933991304655711,0.2485746941654881,0.30213544031334977,0.24003488447684235,0.23455823221917424,-0.006516729430080442
chapman,ptbxl,resnet1d,45,raw,2172,,,,,0.0,0.10777856772112232,0.01560123259508134,0.2499828301944385,0.3411805899843135,0.256152116173868,0.24518975021519573,0.0
chapman,ptbxl,resnet1d,45,stage1_ts,2172,0.9878828624250616,,,,0.0,0.10911407053865547,0.015142079730907053,0.2499828301944385,0.3426022875912242,0.25960918346904793,0.2487566381553337,0.0013355028175331546
chapman,ptbxl,resnet1d,45,stage2_ts_binned,2172,0.9878828624250616,1.0035388004028394,0.8900199005694509,1.090428205208689,0.0,0.11315555695051328,0.015282059355294818,0.2499828301944385,0.34745259825886043,0.25624650323563003,0.24781275327365007,0.005376989229390963
chapman,ptbxl,resnet1d,45,stage3_ts_binned_threshold,2172,0.9878828624250616,1.0035388004028394,0.8900199005694509,1.090428205208689,0.0,0.11315555695051328,0.015282059355294818,0.2499828301944385,0.34745259825886043,0.25624650323563003,0.24781275327365007,0.005376989229390963
chapman,ptbxl,resnet1d,46,raw,2172,,,,,0.0,0.07421955904833666,0.006600983016667721,0.24613679374866457,0.31570166444975895,0.24400113204675927,0.23940751252690987,0.0
chapman,ptbxl,resnet1d,46,stage1_ts,2172,1.063524700627107,,,,0.0,0.06934707453285159,0.007688601555780081,0.24613679374866457,0.3103475242436423,0.22941927773997095,0.22451654367831145,-0.004872484515485068
