pair,arch,seed,shift_name,shift_type,T_shift,T_relative,cal_entropy_mean,n_cal,fit_status
chapman_ptbxl,inceptiontime,44,fs125,downsample,2.233571282628319,2.1083577406989678,0.2704116107355001,2025,ok
chapman_ptbxl,inceptiontime,44,leads6,leads,1.1687507975661513,1.1032308707412486,0.41929611028947394,2025,ok
chapman_ptbxl,inceptiontime,44,leads3,leads,1.3075836647216033,1.23428079621584,0.7402797163700467,2025,ok
chapman_ptbxl,inceptiontime,44,leads2,leads,1.2650361934162018,1.194118527309718,0.7465458082671145,2025,ok
chapman_ptbxl,inceptiontime,44,leads1,leads,1.2284773409158525,1.1596091564829756,0.6853922689587464,2025,ok
chapman_ptbxl,inceptiontime,44,noise24,noise,1.0576059979906978,0.9983168255321808,0.43427953276277653,2025,ok
chapman_ptbxl,inceptiontime,44,noise12,noise,1.0494181098745112,0.9905879487222027,0.44494103366821175,2025,ok
chapman_ptbxl,inceptiontime,44,noise6,noise,1.039496615641707,0.9812226513942311,0.476033712255171,2025,ok
chapman_ptbxl,inceptiontime,44,noise0,noise,1.0258591354494762,0.9683496855074722,0.5752870737107542,2025,ok
chapman_ptbxl,inceptiontime,44,noise-6,noise,1.066793478419997,1.0069892577179311,0.7790923263598303,2025,ok
chapman_ptbxl,inceptiontime,44,gain0.5,gain,1.6654354872724209,1.5720715199622646,0.32801428561993706,2025,ok
chapman_ptbxl,inceptiontime,44,gain2.0,gain,1.2875845034159037,1.2154027837367658,0.5787434616814376,2025,ok
chapman_ptbxl,inceptiontime,45,baseline,none,1.103969667968837,1.0,0.4191890693914462,2025,ok
chapman_ptbxl,inceptiontime,45,fs250,downsample,1.9767335975354308,1.7905687582634109,0.24139680305486247,2025,ok
chapman_ptbxl,inceptiontime,45,fs125,downsample,2.7114209539531324,2.4560647204572206,0.12575527854677826,2025,ok
chapman_ptbxl,inceptiontime,45,leads6,leads,1.3428059143080882,1.2163431236101614,0.3512379473895162,2025,ok
chapman_ptbxl,inceptiontime,45,leads3,leads,1.2430736347621751,1.1260034318236944,0.696707965975154,2025,ok
chapman_ptbxl,inceptiontime,45,leads2,leads,1.1252658743381065,1.0192905720031709,0.868613698211195,2025,ok
chapman_ptbxl,inceptiontime,45,leads1,leads,0.9921372127781256,0.8986997030484823,0.8991413907217151,2025,ok
chapman_ptbxl,inceptiontime,45,noise24,noise,1.1043047503177768,1.0003035249596632,0.4199693123114713,2025,ok
