pair,arch,seed,method,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,is_narrow,narrow_threshold,n_cal_est,n_test_est,n_patients_cal_est,n_patients_test_est,bootstrap_converged,cluster_sufficient,decay,diagnosis_reasons
ptbxl_chapman,inceptiontime,42,vector,0.03139289680097271,0.023622928664008003,0.03696888192246585,0.013345953258457846,0,0.005,1060,4110,200,810,1,1,0.0005852731666188514,
ptbxl_chapman,inceptiontime,42,matrix,0.03246762975042504,0.02611950583142072,0.03784039909169881,0.01172089326027809,0,0.005,1080,4130,200,810,1,1,-0.0028473446609317415,
ptbxl_chapman,inceptiontime,42,dirichlet,0.03212102866812867,0.024150547436642533,0.03788885732958052,0.013738309892937988,0,0.005,1100,4150,200,810,1,1,-0.0031357749108069793,
ptbxl_chapman,inceptiontime,42,em_prior,0.031503876799218275,0.016515528170860747,0.04588327510530699,0.029367746934446246,0,0.005,1120,4170,200,810,1,1,0.05906646346369275,
ptbxl_chapman,inceptiontime,42,bbse_prior,0.023734620954040705,0.008911970524023814,0.038081525717553556,0.02916955519352974,0,0.005,1140,4190,200,810,1,1,0.06532967440724911,
ptbxl_chapman,inceptiontime,43,ts,0.02542057445303661,0.022471470650982504,0.02772873948413996,0.005257268833157455,0,0.005,1000,4050,200,810,1,1,0.0009443367722819021,low_decay_variance
ptbxl_chapman,inceptiontime,43,platt,0.020810649146697335,0.011902877169178684,0.027490849899689435,0.015587972730510751,0,0.005,1020,4070,200,810,1,1,-0.004672417673590463,
ptbxl_chapman,inceptiontime,43,isotonic,0.028154460437854495,0.02209080572856211,0.03269178200453378,0.010600976275971667,0,0.005,1040,4090,200,810,1,1,0.008373631214462364,
ptbxl_chapman,inceptiontime,43,vector,0.021670096088766216,0.011702994187458092,0.028467399502753798,0.016764405315295706,0,0.005,1060,4110,200,810,1,1,-0.004545113968126693,
ptbxl_chapman,inceptiontime,43,matrix,0.03218883303068426,0.02366866432401656,0.03668939363091268,0.013020729306896118,0,0.005,1080,4130,200,810,1,1,0.009020719386837989,
ptbxl_chapman,inceptiontime,43,dirichlet,0.03225229754673445,0.024913391238279407,0.036013513666345906,0.0111001224280665,0,0.005,1100,4150,200,810,1,1,0.00908856635285022,
ptbxl_chapman,inceptiontime,43,em_prior,0.05635341879024017,0.04403418643734762,0.0703412870334782,0.026307100596130575,0,0.005,1120,4170,200,810,1,1,0.09022512872805706,
ptbxl_chapman,inceptiontime,43,bbse_prior,0.06778471333494815,0.05534817929075224,0.08083758534604589,0.02548940605529365,0,0.005,1140,4190,200,810,1,1,0.06465085818311819,
ptbxl_chapman,inceptiontime,44,ts,0.020274228051884224,0.019478452961957125,0.020742989922400295,0.0012645369604431696,1,0.005,1000,4050,200,810,1,1,0.002977024612752021,extremely_narrow_ci;low_decay_variance
ptbxl_chapman,inceptiontime,44,platt,0.026062875922803402,0.025010744754016687,0.026909117333355107,0.0018983725793384199,1,0.005,1020,4070,200,810,1,1,0.005852049317293745,extremely_narrow_ci
ptbxl_chapman,inceptiontime,44,isotonic,0.02711892228180013,0.025245024997504906,0.02916315707767347,0.003918132080168564,1,0.005,1040,4090,200,810,1,1,0.01120392549824406,extremely_narrow_ci
ptbxl_chapman,inceptiontime,44,vector,0.020905583494246205,0.019379119924553066,0.022481135760497005,0.0031020158359439387,1,0.005,1060,4110,200,810,1,1,-0.00020729508362626534,extremely_narrow_ci
ptbxl_chapman,inceptiontime,44,matrix,0.029528997291102976,0.026474864807872287,0.03228363838604605,0.0058087735781737655,0,0.005,1080,4130,200,810,1,1,0.0055636499370747446,
ptbxl_chapman,inceptiontime,44,dirichlet,0.029502866477929213,0.026518132839564033,0.03221408549843278,0.005695952658868745,0,0.005,1100,4150,200,810,1,1,0.005536978482251646,
ptbxl_chapman,inceptiontime,44,em_prior,0.07702324995838614,0.0655629139400395,0.08832149195572402,0.02275857801568451,0,0.005,1120,4170,200,810,1,1,0.08559511842709519,
ptbxl_chapman,inceptiontime,44,bbse_prior,0.07768620718304121,0.06452181214813728,0.09065366197009739,0.02613184982196011,0,0.005,1140,4190,200,810,1,1,0.08847448966875218,
ptbxl_chapman,inceptiontime,45,ts,0.022588094490864574,0.020049659049359875,0.024554672323982066,0.004505013274622192,1,0.005,1000,4050,200,810,1,1,0.006420496205021605,extremely_narrow_ci
ptbxl_chapman,inceptiontime,45,platt,0.026182761858037515,0.018684511774568827,0.030390178703109803,0.011705666928540977,0,0.005,1020,4070,200,810,1,1,0.010596824614922336,
ptbxl_chapman,inceptiontime,45,isotonic,0.018823306613716395,0.008155760241817852,0.024992674541494203,0.01683691429967635,0,0.005,1040,4090,200,810,1,1,0.010072496697617523,
ptbxl_chapman,inceptiontime,45,vector,0.018980203280808267,0.0126715494764756,0.022808389728193216,0.010136840251717617,0,0.005,1060,4110,200,810,1,1,-0.0031178315502660425,
ptbxl_chapman,inceptiontime,45,matrix,0.014697311418715747,0.0065587626986609235,0.020406454249599516,0.013847691550938592,0,0.005,1080,4130,200,810,1,1,-0.0074794692288500005,
