direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,noise24,noise,0.16048055989715768,0.07115071674122826,0.07234564370494759,0.0026169456456137663,-0.0011949269637193255,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,noise12,noise,0.15150137343863684,0.06553235814318585,0.0662845317938931,0.002814122983323508,-0.0007521736507072468,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,noise6,noise,0.14548099134539955,0.051331640702440284,0.05291738260981159,0.00303648173384638,-0.0015857419073713047,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,noise0,noise,0.2785679797906172,0.0846490600293909,0.08661898217260161,0.00321086689611888,-0.001969922143210706,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,noise-6,noise,0.380260898354406,0.1449978027431467,0.1472292375528635,0.0026030618808003947,-0.002231434809716798,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,gain0.5,gain,0.3646587373791946,0.2198996447063501,0.22203521063516163,0.0021208850064579066,-0.0021355659288115336,0,computed
ptbxl->chapman,ptbxl,chapman,inceptiontime,46,gain2.0,gain,0.27511556534938636,0.07986019962678838,0.08152591642886865,0.002878397656428111,-0.0016657168020802748,0,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,fs250,downsample,0.376980781682809,0.19058825070581625,0.04327306732105371,-0.2435222919083861,0.14731518338476254,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,fs125,downsample,0.5601975621966173,0.3283273556390727,0.08650301238515629,-0.2717823741920523,0.24182434325391644,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,leads6,leads,0.37076036278036306,0.1688021638231451,0.026758205574539333,-0.22700430321191428,0.14204395824860577,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,leads3,leads,0.18841182208283788,0.060310158221135876,0.007785084653115789,-0.1374857449825364,0.05252507356802009,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,leads2,leads,0.1333562564864838,0.036983860504565896,0.006633146337644882,-0.09990367351363569,0.030350714166921013,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,leads1,leads,0.03020070252962213,0.008262460124320452,0.01646474038532511,0.08590679483845885,-0.008202280261004658,0,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,noise24,noise,0.37706042094373504,0.17468659791951377,0.030184736914598286,-0.2340722139335956,0.1445018610049155,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,noise12,noise,0.35939086341878085,0.1631376571353097,0.026290653671226967,-0.2291505191023069,0.13684700346408274,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,noise6,noise,0.3286972187200431,0.13577882118316523,0.015537132136945507,-0.22364474390450495,0.12024168904621972,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,noise0,noise,0.22115698077817936,0.07586045326995809,0.008386612546388762,-0.16451036200636263,0.06747384072356932,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,noise-6,noise,0.42696900165358065,0.21194544687792868,0.040656755414103296,-0.24670492794665339,0.1712886914638254,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,gain0.5,gain,0.25406364671517145,0.08639738838149258,0.00970513610109344,-0.19688745690576803,0.07669225228039914,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,42,gain2.0,gain,0.3265257464796505,0.16002425449740243,0.03657483686164822,-0.20643924167922179,0.1234494176357542,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,fs250,downsample,0.2587812718991077,0.13631702191561065,0.06508978762377107,-0.13549950956827062,0.07122723429183958,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,fs125,downsample,0.2928940394022669,0.1517736928951898,0.056408108806539285,-0.1416358277212231,0.0953655840886505,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,leads6,leads,0.3281107707671963,0.1360739369454814,0.027198990150189103,-0.24384382260073945,0.10887494679529229,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,leads3,leads,0.13465009071786319,0.02812790862593307,0.017545348179059242,-0.04632950510444471,0.010582560446873827,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,leads2,leads,0.12003046105643209,0.030852574052939254,0.0022880594184764387,-0.0749678991293943,0.028564514634462815,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,leads1,leads,0.035759387112735054,0.0018754509944416422,0.021790164750180203,0.11031320862356811,-0.019914713755738563,0,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,noise24,noise,0.3462396388041512,0.1619605850790647,0.03931758073385639,-0.24238638135743185,0.1226430043452083,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,noise12,noise,0.33908471651123684,0.15684930134222821,0.036290591785483446,-0.23676880421676028,0.12055870955674478,1,computed
