T,dist,kind,n_cells,dECE_noise,dECE_primary
1.1000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.003139,-0.003139
1.2500,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.019574,-0.019574
1.4000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.035844,-0.035844
1.5000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.046058,-0.046058
2.0000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.090162,-0.090162
3.0000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.151825,-0.151825
4.5000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.205240,-0.205240
0.7000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.031979,-0.031979
0.8000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.018132,-0.018132
0.9000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.006851,-0.006851
1.0000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.000573,-0.000573
1.2500,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.012890,-0.012890
1.4000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.029366,-0.029366
1.5000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.039544,-0.039544
2.0000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.081951,-0.081951
3.0000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.137558,-0.137558
4.5000,empirical:chapman_cpsc_resnet1d_seed46,empirical,60,0.182980,-0.182980
0.7000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.025708,-0.025708
0.8000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.014840,-0.014840
0.9000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.005797,-0.005797
1.0000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,-0.001593,0.001593
1.2500,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.002166,-0.002166
1.4000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.008457,-0.008457
1.5000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.013808,-0.013808
2.0000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.043316,-0.043316
3.0000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.081242,-0.081242
4.5000,empirical:chapman_ptbxl_inceptiontime_seed42,empirical,60,0.111594,-0.111594
0.7000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.024276,-0.024276
0.8000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.012507,-0.012507
0.9000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.003939,-0.003939
1.0000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.001407,-0.001407
1.2500,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.009793,-0.009793
1.4000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.021427,-0.021427
1.5000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.029539,-0.029539
2.0000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.063595,-0.063595
3.0000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.105687,-0.105687
4.5000,empirical:chapman_ptbxl_inceptiontime_seed43,empirical,60,0.139299,-0.139299
0.7000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.032924,-0.032924
0.8000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.019498,-0.019498
0.9000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.008191,-0.008191
1.0000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,-0.003275,0.003275
1.2500,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.001439,-0.001439
1.4000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.015194,-0.015194
1.5000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.023719,-0.023719
2.0000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.058648,-0.058648
3.0000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.102539,-0.102539
4.5000,empirical:chapman_ptbxl_inceptiontime_seed44,empirical,60,0.137408,-0.137408
0.7000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.024640,-0.024640
0.8000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.013178,-0.013178
0.9000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.005012,-0.005012
1.0000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,-0.000891,0.000891
1.2500,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.004400,-0.004400
1.4000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.015224,-0.015224
1.5000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.023353,-0.023353
2.0000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.056455,-0.056455
3.0000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.097597,-0.097597
4.5000,empirical:chapman_ptbxl_inceptiontime_seed45,empirical,60,0.130602,-0.130602
0.7000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.028920,-0.028920
0.8000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.015347,-0.015347
0.9000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.005299,-0.005299
1.0000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.001215,-0.001215
1.2500,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.012074,-0.012074
1.4000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.026302,-0.026302
1.5000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.035184,-0.035184
2.0000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.071335,-0.071335
3.0000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.117418,-0.117418
4.5000,empirical:chapman_ptbxl_inceptiontime_seed46,empirical,60,0.154717,-0.154717
0.7000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.034481,-0.034481
0.8000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.018708,-0.018708
0.9000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.006486,-0.006486
1.0000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.003225,-0.003225
1.2500,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.020680,-0.020680
1.4000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.038064,-0.038064
1.5000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.048678,-0.048678
2.0000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.091569,-0.091569
3.0000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.144195,-0.144195
4.5000,empirical:chapman_ptbxl_resnet1d_seed42,empirical,60,0.184916,-0.184916
0.7000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.036516,-0.036516
0.8000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.020973,-0.020973
0.9000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.007086,-0.007086
1.0000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.006759,-0.006759
1.2500,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.025999,-0.025999
1.4000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.043746,-0.043746
1.5000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.054677,-0.054677
2.0000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.099899,-0.099899
3.0000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.157189,-0.157189
4.5000,empirical:chapman_ptbxl_resnet1d_seed43,empirical,60,0.201981,-0.201981
0.7000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.037399,-0.037399
0.8000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.022283,-0.022283
0.9000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.009434,-0.009434
1.0000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.000904,-0.000904
1.2500,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.017995,-0.017995
1.4000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.034370,-0.034370
1.5000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.044360,-0.044360
2.0000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.085204,-0.085204
3.0000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.136722,-0.136722
4.5000,empirical:chapman_ptbxl_resnet1d_seed44,empirical,60,0.177270,-0.177270
0.7000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.028099,-0.028099
0.8000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.014067,-0.014067
0.9000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.004540,-0.004540
1.0000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.001659,-0.001659
1.2500,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.011466,-0.011466
1.4000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.025357,-0.025357
1.5000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.034519,-0.034519
2.0000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.071024,-0.071024
3.0000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.114691,-0.114691
4.5000,empirical:chapman_ptbxl_resnet1d_seed45,empirical,60,0.149860,-0.149860
0.7000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.037877,-0.037877
0.8000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.022773,-0.022773
0.9000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.009366,-0.009366
1.0000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.005951,-0.005951
1.2500,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.024939,-0.024939
1.4000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.042213,-0.042213
1.5000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.052844,-0.052844
2.0000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.096703,-0.096703
