pair,arch,seed,source,target,T_global,fit_status,n_cal,n_id,n_ood,cal_entropy_mean,cal_entropy_std,id_rel_raw,id_rel_global_T,id_delta_rel_global,id_rel_binned_T,id_delta_rel_binned_vs_global,ood_rel_raw,ood_rel_global_T,ood_delta_rel_global,ood_rel_binned_T,ood_delta_rel_binned_vs_global
ptbxl_chapman,inceptiontime,45,ptbxl,chapman,1.0935976757906636,ok,2158,2172,4050,0.7018103226458284,0.33107907770901285,0.0010860975708209223,0.0003587529338570925,-0.0007273446369638298,0.0008730863214815547,0.0005143333876244622,0.024866019977437787,0.020665183018655574,-0.004200836958782213,0.020611862923073147,-5.332009558242645e-05
ptbxl_chapman,inceptiontime,46,ptbxl,chapman,0.9896140050605831,ok,2158,2172,4050,0.8701528126542044,0.29543406209749457,0.00042212493080669936,0.0004087296693188007,-1.3395261487898638e-05,0.0003773937561794462,-3.1335913139354506e-05,0.07202596386779071,0.07292204073094552,0.0008960768631548072,0.07092338074898981,-0.001998659981955711
ptbxl_cpsc,resnet1d,42,ptbxl,cpsc,2.5291274954359406,ok,2099,2120,2057,0.6643560840190552,0.3391089021045894,0.05810261137792552,0.0032274684860869292,-0.05487514289183859,0.0017809656568913057,-0.0014465028291956235,0.17564906328790264,0.030704328446344117,-0.1449447348415585,0.028678585373036847,-0.00202574307330727
ptbxl_cpsc,resnet1d,43,ptbxl,cpsc,2.515012083640151,ok,2099,2120,2057,0.7209129167092101,0.2827535691416912,0.04722166257892625,0.015727577581922447,-0.031494084997003804,0.0029888832429476224,-0.012738694338974826,0.1620380002622052,0.03949536741602747,-0.12254263284617772,0.04429062066357265,0.004795253247545178
ptbxl_cpsc,resnet1d,44,ptbxl,cpsc,4.439669380509517,ok,2099,2120,2057,0.3658224438016312,0.29756077777801687,0.10767263461806659,0.03136257865606084,-0.07631005596200574,0.008011193403623888,-0.023351385252436952,0.22487366838663772,0.023654787572118113,-0.2012188808145196,0.013236040893540345,-0.010418746678577768
ptbxl_cpsc,resnet1d,45,ptbxl,cpsc,3.97469503150438,ok,2099,2120,2057,0.6158225606080404,0.3124674287185685,0.06392708864921826,0.02995870590433364,-0.03396838274488462,0.010471377702714143,-0.019487328201619497,0.13600568316760325,0.01850858873060529,-0.11749709443699796,0.001444907688304359,-0.01706368104230093
ptbxl_cpsc,resnet1d,46,ptbxl,cpsc,2.1719145995086984,ok,2099,2120,2057,0.6696561139301117,0.32821496455335575,0.04520967168940856,0.010880503154894031,-0.03432916853451452,0.0024884798546330883,-0.008392023300260943,0.1402164411563263,0.025947554615309426,-0.11426888654101688,0.0343220197581727,0.008374465142863274
ptbxl_cpsc,inceptiontime,42,ptbxl,cpsc,3.6532544212924067,ok,2099,2120,2057,0.6006742145675582,0.3178516368517298,0.06710203775310038,0.026306137163396956,-0.04079590058970342,0.011920318571421203,-0.014385818591975753,0.19260187757672687,0.019593118125478114,-0.17300875945124874,0.018839244262020886,-0.000753873863457228
ptbxl_cpsc,inceptiontime,43,ptbxl,cpsc,2.8846796624403255,ok,2099,2120,2057,0.5672272021364084,0.31917979791577367,0.0603797572904769,0.007633255983617027,-0.05274650130685987,0.005715116824254434,-0.0019181391593625927,0.17251828096002791,0.01976687346543324,-0.15275140749459468,0.027294421171544483,0.007527547706111241
ptbxl_cpsc,inceptiontime,44,ptbxl,cpsc,3.5264703798914034,ok,2099,2120,2057,0.5788655249942813,0.30694716719696336,0.05711042450731979,0.027488500705259992,-0.0296219238020598,0.014926997456597159,-0.012561503248662833,0.1641090901415542,0.016196744714686667,-0.14791234542686754,0.016276582786090548,7.983807140388155e-05
