src,tgt,arch,seed,d_obs,T,ece_cal,s_hat,b_hat,pi_l1,gap_cal,e_raw
cpsc,chapman,resnet1d,45,-0.08890300025320098,2.7420855896660727,0.2584996068779426,1.4598562294852344,1.374236011603617,0.6718543735513052,0.2584995502041981,0.09094617256406219
cpsc,chapman,resnet1d,46,-0.007582193440697854,3.1824909238724364,0.281242206387998,2.545528666921743,1.5712150423726738,0.6718543735513052,0.2812422806471441,0.14965762916299177
chapman,ptbxl,inceptiontime,42,-0.0018959534858714044,0.9843878285278691,0.01815920903358932,1.0922693927715377,-0.07609310081465268,0.9515244526294251,0.0005457179045971206,0.2662113383000727
chapman,ptbxl,inceptiontime,43,0.010601623923019304,1.0389052896119755,0.020365671552257755,1.0975089355777063,0.03800485371547407,0.9515244526294251,0.013986284026393236,0.2572063001946411
chapman,ptbxl,inceptiontime,44,0.014951618253084192,1.0593890951682814,0.01826476791758595,1.1545611486871123,-0.10384175723229012,0.9515244526294251,0.005385050508711076,0.25976600278422757
chapman,ptbxl,inceptiontime,45,0.025050004666906656,1.1039696491394246,0.015076983048592067,1.007659225137088,0.03683747755705225,0.9515244526294251,0.004599907986911678,0.27748503459147544
chapman,ptbxl,inceptiontime,46,0.015030207023554315,1.074181147812797,0.02427039679185844,1.0610641716212563,0.0389330949063332,0.9515244526294251,0.009341967812290908,0.25536680286046987
chapman,ptbxl,resnet1d,42,0.030116942658485635,1.1246112144742808,0.016836561965353714,1.1675323925446943,-0.017924969235850012,0.9515244526294251,0.013723696131765162,0.24607679970960372
chapman,ptbxl,resnet1d,43,0.028254270520797597,1.1279481087131698,0.01731030218395185,1.1909189241943254,-0.009539991303413736,0.9515244526294251,0.016245030208870248,0.27630871200923757
chapman,ptbxl,resnet1d,44,0.016812273455430043,1.0684319939700566,0.017449699507819303,1.1035863860999087,0.037124237756798226,0.9515244526294251,0.011590037375320605,0.25865944148372333
chapman,ptbxl,resnet1d,45,-0.003457056496640465,0.9878828624250616,0.017532033125559475,0.9301980454521658,0.13669834468474915,0.9515244526294251,0.007348710784205736,0.25615212697240747
chapman,ptbxl,resnet1d,46,0.014581876013636419,1.063524700627107,0.01574851763101271,1.0949267908398475,-0.0051455200173667354,0.9515244526294251,0.00826142066790736,0.24400115375360737
ptbxl,chapman,inceptiontime,42,0.02929281632363609,1.137414233816701,0.05550646649343863,1.1195488527216109,0.2609005291958718,0.9542237325369856,0.055506486656270226,0.12112495916861077
ptbxl,chapman,inceptiontime,43,0.02714606921980528,1.1058476761558191,0.043783915288698017,1.1780930885338223,0.10217647675061733,0.9542237325369856,0.03877393933111484,0.16022377968570334
ptbxl,chapman,inceptiontime,44,0.021080753025173565,1.0737596178986828,0.04404872327186757,1.1025551043587334,0.18085992780814486,0.9542237325369856,0.04225736221193277,0.18221751586890514
ptbxl,chapman,inceptiontime,45,0.02460358464941717,1.0935977150684193,0.03777822103624106,1.2490372664374048,-0.021073072138259232,0.9542237325369856,0.028119839430960192,0.12773633481543745
ptbxl,chapman,inceptiontime,46,-0.0031090601092219894,0.9896139822060166,0.032655901689016775,0.9844196472384068,0.019838234485397083,0.9542237325369856,0.0018040205837953627,0.16175915666568427
ptbxl,chapman,resnet1d,42,0.020528221190934157,1.108266135223491,0.04631710241689408,1.2399446991268472,0.03036317677275651,0.9542237325369856,0.03455755912782532,0.10770423967161294
ptbxl,chapman,resnet1d,43,0.04283289533375251,1.1905984840602915,0.05887778353315466,1.214412269766309,0.2479877453948645,0.9542237325369856,0.0588777616026227,0.13159173642411645
ptbxl,chapman,resnet1d,44,0.02299051750373371,1.1033856277718945,0.04322871016174472,1.275798668030828,-0.017524948690618325,0.9542237325369856,0.03323660938688955,0.1422944752301699
ptbxl,chapman,resnet1d,45,0.025036190648317996,1.1074875816050354,0.04015288937688427,1.1090625725545151,0.1378561701108532,0.9542237325369856,0.035666136856538744,0.15201296519350121
ptbxl,chapman,resnet1d,46,0.035647799384825096,1.1729085939085804,0.048542890991183536,1.2913812268059035,0.0706381247664142,0.9542237325369856,0.0440153351970245,0.12740002251701593
cpsc,ptbxl,inceptiontime,42,0.2160261278361605,2.750045974462376,0.20088199834396453,1.7034226713508822,1.072330552868732,0.8645734967206188,0.2008819749548001,0.33806096910024586
cpsc,ptbxl,inceptiontime,43,0.23132099905325348,2.8206852650068517,0.23078046990114154,1.2761638217111146,1.1911389432292692,0.8645734967206188,0.23078044468379189,0.45647799187111404
cpsc,ptbxl,inceptiontime,44,0.26721162582869257,3.045573315474582,0.2691589647862324,1.4164255701166921,1.4955174755793246,0.8645734967206188,0.2678199975725042,0.4181391693511099
cpsc,ptbxl,inceptiontime,45,0.2613614112312659,3.1687513716229683,0.29855765151304303,1.7939393190169677,1.6780921071001613,0.8645734967206188,0.29603013404968764,0.42676428550819184
cpsc,ptbxl,inceptiontime,46,0.22306702054336666,2.7373160485948738,0.23123331987521198,1.2481285852204098,1.225893207809498,0.8645734967206188,0.23123324445531335,0.2973450913744153
cpsc,ptbxl,resnet1d,42,0.25475792024141103,2.735391419860299,0.27793467372742925,3.0380716433641544,1.4321400816363332,0.8645734967206188,0.2745170907825667,0.41831645770174153
cpsc,ptbxl,resnet1d,43,0.2264980241196519,2.5512128896851194,0.22612759871399277,1.798240152590206,1.1360163834474062,0.8645734967206188,0.22612767268295064,0.39802845335512793
cpsc,ptbxl,resnet1d,44,0.2882298869464084,3.2499059272046495,0.2831799903015779,2.3439813994115655,1.5104988088449347,0.8645734967206188,0.28215203469776945,0.41102087029589796
cpsc,ptbxl,resnet1d,45,0.26380315284872224,3.1243148338207676,0.2697464718094355,2.345238925748595,1.4227116197992957,0.8645734967206188,0.2694238259474282,0.36967888941180027
cpsc,ptbxl,resnet1d,46,0.30313432571466226,3.517784721833407,0.3199380261292128,1.7427656894581234,1.941869820418611,0.8645734967206188,0.3197165162328852,0.4501823925887639
ptbxl,cpsc,inceptiontime,42,0.3127793004048057,3.6532550928813423,0.2597078374733864,3.6386105890572713,1.4158240228463341,0.8633414110430158,0.2597078990232041,0.3991465923794277
ptbxl,cpsc,inceptiontime,43,0.28005965435881913,2.8846798668035714,0.25700709260662946,2.1013187222964587,1.4430961522662757,0.8633414110430158,0.25700713970253386,0.38490559294725657
ptbxl,cpsc,inceptiontime,44,0.31639202011677714,3.526470098559992,0.2440334733410527,2.590152915964136,1.2340789964147219,0.8633414110430158,0.24403350452061434,0.37858644297358246
ptbxl,cpsc,inceptiontime,45,0.1710575280616659,3.409270199987507,0.23170977551179478,-39.54207593625732,3.968608998330627,0.8633414110430158,0.23170983507384457,0.3075282487060239
ptbxl,cpsc,inceptiontime,46,0.20397634274042092,2.1212845806536547,0.2137279585039349,1.3900920294092358,1.126166755703489,0.8633414110430158,0.21372795079423446,0.35871202454847445
ptbxl,cpsc,resnet1d,42,0.2308406837306139,2.5291222453830655,0.24273773028261045,1.8757353243936885,1.3748637183417487,0.8633414110430158,0.2419506880770188,0.37340564933806064
ptbxl,cpsc,resnet1d,43,0.21939041746404764,2.5150607489279846,0.20301765605289063,3.41668708736303,0.7949016220851959,0.8633414110430158,0.2030176619452031,0.3546513300470548
ptbxl,cpsc,resnet1d,44,0.37422074967768765,4.439638313607378,0.3265497710887678,8.258893861211103,1.3858784415026413,0.8633414110430158,0.32654976785154555,0.44775625389643414
ptbxl,cpsc,resnet1d,45,0.23971501727702413,3.9746045511771806,0.23846691763077305,9.092328703753479,0.5279740009053513,0.8633414110430158,0.23806154685340764,0.33308224415512533
ptbxl,cpsc,resnet1d,46,0.21303572832565348,2.1718877127471963,0.20546271313707734,1.1943457661662065,1.124471661718901,0.8633414110430158,0.20546277901738985,0.3606411448716538
