src,tgt,arch,seed,d_obs,T,ece_cal,s_hat,b_hat,pi_l1,gap_cal,e_raw,ent_tgt,ent_cal,ent_ratio,conf_tgt,conf_cal
ptbxl,chapman,resnet1d,45,0.0250361906483179,1.1074875816050354,0.0401528893768842,1.1090625725545151,0.1378561701108532,0.9542237325369856,0.0356661368565387,0.1520129651935012,0.6182897,0.6624945,0.9332753,0.7714903,0.7645818
ptbxl,chapman,resnet1d,46,0.035647799384825,1.1729085939085804,0.0485428909911835,1.2913812268059035,0.0706381247664142,0.9542237325369856,0.0440153351970245,0.1274000225170159,0.5580313,0.5702262,0.978614,0.79234624,0.79424703
cpsc,ptbxl,inceptiontime,42,0.2160261278361605,2.750045974462376,0.2008819983439645,1.7034226713508822,1.072330552868732,0.8645734967206188,0.2008819749548001,0.3380609691002458,0.84473866,0.68417704,1.2346785,0.64324963,0.7266853
cpsc,ptbxl,inceptiontime,43,0.2313209990532534,2.820685265006852,0.2307804699011415,1.2761638217111146,1.1911389432292692,0.8645734967206188,0.2307804446837918,0.456477991871114,0.76553315,0.65280586,1.1726812,0.676761,0.73516214
cpsc,ptbxl,inceptiontime,44,0.2672116258286925,3.045573315474582,0.2691589647862324,1.416425570116692,1.4955174755793246,0.8645734967206188,0.2678199975725042,0.4181391693511099,0.6816472,0.57660085,1.1821821,0.72049767,0.7751228
cpsc,ptbxl,inceptiontime,45,0.2613614112312659,3.1687513716229683,0.298557651513043,1.7939393190169677,1.678092107100161,0.8645734967206188,0.2960301340496876,0.4267642855081918,0.7687593,0.6495679,1.1834934,0.6828963,0.74393666
cpsc,ptbxl,inceptiontime,46,0.2230670205433666,2.7373160485948738,0.2312333198752119,1.2481285852204098,1.225893207809498,0.8645734967206188,0.2312332444553133,0.2973450913744153,0.845468,0.6712011,1.2596344,0.65614855,0.73756236
cpsc,ptbxl,resnet1d,42,0.254757920241411,2.735391419860299,0.2779346737274292,3.0380716433641544,1.4321400816363332,0.8645734967206188,0.2745170907825667,0.4183164577017415,0.7322826,0.5900568,1.2410375,0.7098259,0.78474104
cpsc,ptbxl,resnet1d,43,0.2264980241196519,2.5512128896851194,0.2261275987139927,1.798240152590206,1.1360163834474062,0.8645734967206188,0.2261276726829506,0.3980284533551279,0.7959446,0.6833335,1.1647966,0.67538697,0.7344042
cpsc,ptbxl,resnet1d,44,0.2882298869464084,3.249905927204649,0.2831799903015779,2.343981399411565,1.5104988088449347,0.8645734967206188,0.2821520346977694,0.4110208702958979,0.7324397,0.60109013,1.218519,0.7105492,0.77777034
cpsc,ptbxl,resnet1d,45,0.2638031528487222,3.124314833820768,0.2697464718094355,2.345238925748595,1.4227116197992955,0.8645734967206188,0.2694238259474282,0.3696788894118002,0.71642166,0.5384083,1.330629,0.71307516,0.799122
cpsc,ptbxl,resnet1d,46,0.3031343257146622,3.517784721833407,0.3199380261292128,1.7427656894581234,1.941869820418611,0.8645734967206188,0.3197165162328852,0.4501823925887639,0.63094205,0.49770698,1.2676978,0.74546546,0.8124137
ptbxl,cpsc,inceptiontime,42,0.3127793004048057,3.6532550928813423,0.2597078374733864,3.6386105890572713,1.415824022846334,0.8633414110430158,0.2597078990232041,0.3991465923794277,0.60262346,0.6006743,1.003245,0.7607093,0.7709037
ptbxl,cpsc,inceptiontime,43,0.2800596543588191,2.884679866803572,0.2570070926066294,2.1013187222964587,1.4430961522662755,0.8633414110430158,0.2570071397025338,0.3849055929472565,0.59554297,0.5672272,1.0499196,0.7713908,0.78773606
ptbxl,cpsc,inceptiontime,44,0.3163920201167771,3.526470098559992,0.2440334733410527,2.590152915964136,1.234078996414722,0.8633414110430158,0.2440335045206143,0.3785864429735824,0.58444244,0.5788656,1.0096341,0.77090544,0.78047943
ptbxl,cpsc,inceptiontime,45,0.1710575280616659,3.409270199987507,0.2317097755117947,-39.54207593625732,3.968608998330627,0.8633414110430158,0.2317098350738445,0.3075282487060239,0.66233814,0.6677954,0.9918279,0.7410518,0.7476698
ptbxl,cpsc,inceptiontime,46,0.2039763427404209,2.1212845806536547,0.2137279585039349,1.3900920294092358,1.126166755703489,0.8633414110430158,0.2137279507942344,0.3587120245484744,0.7371965,0.71838367,1.0261878,0.71651465,0.73016435
ptbxl,cpsc,resnet1d,42,0.2308406837306139,2.529122245383065,0.2427377302826104,1.8757353243936885,1.3748637183417487,0.8633414110430158,0.2419506880770188,0.3734056493380606,0.69498026,0.66434383,1.0461153,0.7253746,0.74695307
ptbxl,cpsc,resnet1d,43,0.2193904174640476,2.5150607489279846,0.2030176560528906,3.41668708736303,0.7949016220851959,0.8633414110430158,0.2030176619452031,0.3546513300470548,0.7136919,0.7209176,0.98997706,0.7377334,0.7323173
ptbxl,cpsc,resnet1d,44,0.3742207496776876,4.439638313607378,0.3265497710887678,8.258893861211103,1.3858784415026413,0.8633414110430158,0.3265497678515455,0.4477562538964341,0.39766574,0.36583766,1.0870005,0.84699243,0.86490136
ptbxl,cpsc,resnet1d,45,0.2397150172770241,3.9746045511771806,0.238466917630773,9.09232870375348,0.5279740009053513,0.8633414110430158,0.2380615468534076,0.3330822441551253,0.60264766,0.615811,0.9786244,0.7642928,0.76545554
ptbxl,cpsc,resnet1d,46,0.2130357283256534,2.1718877127471963,0.2054627131370773,1.1943457661662065,1.124471661718901,0.8633414110430158,0.2054627790173898,0.3606411448716538,0.6579128,0.6696682,0.9824459,0.7495571,0.74857855
