src,tgt,arch,seed,T,s_hat,b_hat,pi_l1,d_obs,d_obs_json,d_pred_json,d_pred_lin,d_pred_full,e_raw,e_ts,ood_acc,wass
cpsc,chapman,resnet1d,42,2.060572895694346,1.0745778594309296,0.886238866893684,0.6718543735513052,0.03697751905955468,-0.01179510782239257,0.2117095903363742,-0.014144493402134799,-0.09628467663874103,0.09084205437092062,0.05386453531136594,0.5909550277918141,0.8841337561607361
cpsc,chapman,resnet1d,43,2.551371826992733,1.0736135670724207,1.5858661129385456,0.6718543735513052,0.10194024515158,0.06385484893163369,0.24850674977122422,-0.009575682931833966,-0.10072988923027279,0.1607136018593062,0.058773356707726196,0.6356745831227892,0.9366289377212524
cpsc,chapman,resnet1d,44,3.129229593252759,3.2985367905825345,1.8066989698988065,0.6718543735513052,0.15891540420964967,0.10551555111313461,0.18506444276726308,-0.40866086721872363,-0.2326674752084218,0.17790736106684135,0.01899195685719168,0.5366346639717029,0.804823100566864
cpsc,chapman,resnet1d,45,2.7420855896660727,1.4598562294852344,1.374236011603617,0.6718543735513052,0.03612528538812343,-0.09748591559662302,0.2297416567191356,-0.0682899100474269,-0.14667630459908104,0.09094617256406219,0.05482088717593876,0.6748357756442648,0.7946082353591919
cpsc,chapman,resnet1d,46,3.1824909238724364,2.545528666921743,1.5712150423726738,0.6718543735513052,0.07803023292176228,0.014310782067320171,0.23536381646030413,-0.210559734505784,-0.17088874100042503,0.14965762916299177,0.07162739624122949,0.6328954017180394,0.9466614127159119
cpsc,ptbxl,inceptiontime,42,2.750045974462376,1.7034226713508822,1.072330552868732,0.8645734967206188,0.13291371996110335,0.2151241192817212,0.15768413108911233,0.05668727279447261,-0.20091524178970532,0.33806096910024586,0.2051472491391425,0.30518867924528303,0.5762614607810974
cpsc,ptbxl,inceptiontime,43,2.8206852650068517,1.2761638217111146,1.1911389432292692,0.8645734967206188,0.14685323629176839,0.23971200110210308,0.16192049227892802,-0.05691893972565053,-0.16465012287756198,0.45647799187111404,0.30962475557934566,0.22028301886792453,0.4163665175437927
cpsc,ptbxl,inceptiontime,44,3.045573315474582,1.4164255701166921,1.4955174755793246,0.8645734967206188,0.16495981133490234,0.26092966887222757,0.16155844748964743,-0.070828704309224,-0.1574867152942801,0.4181391693511099,0.25317935801620756,0.30235849056603775,0.46865054965019226
cpsc,ptbxl,inceptiontime,45,3.1687513716229683,1.7939393190169677,1.6780921071001613,0.8645734967206188,0.1760714051436703,0.2632781615343048,0.15108627162365013,-0.1593152701895184,-0.20668492249722742,0.42676428550819184,0.25069288036452153,0.25613207547169814,0.43034079670906067
cpsc,ptbxl,inceptiontime,46,2.7373160485948738,1.2481285852204098,1.225893207809498,0.8645734967206188,0.14042539661223036,0.2193925140159097,0.14027576419539017,-0.05441349055453745,-0.15814685329513728,0.2973450913744153,0.15691969476218492,0.3613207547169811,0.6023799180984497
cpsc,ptbxl,resnet1d,42,2.735391419860299,3.0380716433641544,1.4321400816363332,0.8645734967206188,0.14769363632460808,0.25844551257609716,0.15309271314088513,-0.38204425955708077,-0.2329990604154344,0.41831645770174153,0.27062282137713345,0.29150943396226414,0.5131285190582275
cpsc,ptbxl,resnet1d,43,2.5512128896851194,1.798240152590206,1.1360163834474062,0.8645734967206188,0.1268125546850124,0.22561141381183952,0.18660219486704277,-0.16216781220177492,-0.2071318047226599,0.39802845335512793,0.27121589867011553,0.27735849056603773,0.40121719241142273
cpsc,ptbxl,resnet1d,44,3.2499059272046495,2.3439813994115655,1.5104988088449347,0.8645734967206188,0.19573007172571033,0.2900435380413028,0.16234884176823544,-0.2642311450834104,-0.2267550736243995,0.41102087029589796,0.21529079857018762,0.29952830188679247,0.4951055645942688
cpsc,ptbxl,resnet1d,45,3.1243148338207676,2.345238925748595,1.4227116197992957,0.8645734967206188,0.1734668474433557,0.27145276081683745,0.16858484744090485,-0.2420347933470107,-0.2136377560220799,0.36967888941180027,0.19621204196844458,0.3433962264150943,0.6745891571044922
cpsc,ptbxl,resnet1d,46,3.517784721833407,1.7427656894581234,1.941869820418611,0.8645734967206188,0.20480815816038064,0.29863610668688767,0.12598726002551736,-0.11389868652965476,-0.16503875034878834,0.4501823925887639,0.24537423442838327,0.2952830188679245,0.6652278900146484
ptbxl,chapman,inceptiontime,42,1.137414233816701,1.1195488527216109,0.2609005291958718,0.9542237325369856,-0.08169123723919008,0.030625349391622772,0.44886086808540676,-0.017483290818803086,-0.12014746576915547,0.12112495916861077,0.20281619640780085,0.6474074074074074,0.789362907409668
ptbxl,chapman,inceptiontime,43,1.1058476761558191,1.1780930885338223,0.10217647675061733,0.9542237325369856,-0.08870161099934282,0.022405520310099236,0.44736202949317555,-0.0028304671695789044,-0.13058003668431883,0.16022377968570334,0.24892539068504616,0.6014814814814815,0.7536030411720276
ptbxl,chapman,inceptiontime,44,1.0737596178986828,1.1025551043587334,0.18085992780814486,0.9542237325369856,-0.09633745757150061,0.019701951814679042,0.42912147447216137,-0.01806752229379531,-0.12659363473639082,0.18221751586890514,0.27855497344040575,0.5592592592592592,0.838900625705719
