src,tgt,arch,seed,K,e_raw,e_ts,d_obs_true,d_obs_json,d_pred_json,d_pred_enum,ece_sub_raw,ece_sub_sbpi,sh_s,sh_b,sh_pi,prev_l1,T,ood_acc
cpsc,chapman,inceptiontime,42,4,0.0844072361541192,0.05195098210308758,0.03245625405103162,-0.06221443773794841,0.23446772463330767,-0.11112776789510496,0.1820121356382582,0.07088436774315321,-0.08999420951337009,0.0,-0.021133558381734873,0.6726827606248693,2.750045974462376,0.6361798888327438
cpsc,chapman,inceptiontime,43,4,0.14557546996118567,0.04490788981220589,0.10066758014897978,0.06901890310285075,0.20027220021839925,-0.17596976169688613,0.2594745457021801,0.08350478400529393,-0.17675703986591898,0.0,0.0007872781690328335,0.6726827606248693,2.8206852650068517,0.5712481051035877
cpsc,chapman,inceptiontime,44,4,0.0760218127771361,0.05013975062082366,0.02588206215631244,-0.07298332895512041,0.23220826737545777,-0.14847659874386498,0.18388193381169998,0.035405335067835005,-0.13691126636781048,0.0,-0.011565332376054518,0.6726827606248693,2.4961144294954902,0.639211723092471
cpsc,chapman,inceptiontime,45,4,0.18106810001636647,0.039686085691109874,0.1413820143252566,0.055065171519806735,0.2256935114486559,-0.1727633632441185,0.27641296076497507,0.10364959752085655,-0.15298847552893077,0.0,-0.019774887715187726,0.6726827606248693,3.4375648270228827,0.5826174835775644
cpsc,chapman,inceptiontime,46,4,0.1743857961462386,0.10615773052504233,0.06822806562119625,0.14802334243277887,0.178241504270283,-0.1638512481317035,0.2801703091912224,0.11631906105951888,-0.08239833859453467,0.0,-0.08145290953716883,0.6726827606248693,2.195875689458944,0.4615967660434563
cpsc,chapman,resnet1d,42,4,0.09084205437092062,0.05386451585477142,0.0369775385161492,-0.01179510782239257,0.2117095903363742,-0.12583178351527563,0.17384390163265015,0.04801211811737452,-0.06725011797483027,0.0,-0.05858166554044535,0.6726827606248693,2.060572895694346,0.5909550277918141
cpsc,chapman,resnet1d,43,4,0.1607136018593062,0.05877335596982129,0.1019402458894849,0.06385484893163369,0.24850674977122422,-0.2008705806914037,0.25259346557482737,0.05172288488342363,-0.16665405588542107,0.0,-0.03421652480598264,0.6726827606248693,2.551371826992733,0.6356745831227892
cpsc,chapman,resnet1d,44,4,0.17790736106684135,0.0189919347953411,0.15891542627150024,0.10551555111313461,0.18506444276726308,-0.15796988366436954,0.2893138036184566,0.13134391995408704,-0.13957296204611283,0.0,-0.01839692161825672,0.6726827606248693,3.129229593252759,0.5366346639717029
cpsc,chapman,resnet1d,45,4,0.09094617256406219,0.05482088717593876,0.03612528538812343,-0.09748591559662302,0.2297416567191356,-0.10551147070488714,0.19232230572883624,0.0868108350239491,-0.08260980829598633,0.0,-0.022901662408900812,0.6726827606248693,2.7420855896660727,0.6748357756442648
cpsc,chapman,resnet1d,46,4,0.14965762916299177,0.07162739624122949,0.07803023292176228,0.014310782067320171,0.23536381646030413,-0.13847441670658878,0.2411846930613838,0.10271027635479502,-0.11029651075147642,0.0,-0.028177905955112353,0.6726827606248693,3.1824909238724364,0.6328954017180394
cpsc,ptbxl,inceptiontime,42,4,0.33806096910024586,0.20514724430329398,0.13291372479695188,0.2151241192817212,0.15768413108911233,-0.40134114259324927,0.44668962213228336,0.04534847953903404,-0.23067243510631752,0.0,-0.17066870748693178,0.8633162418249696,2.750045974462376,0.30518867924528303
cpsc,ptbxl,inceptiontime,43,4,0.45647799187111404,0.3096247662069663,0.14685322566414777,0.23971200110210308,0.16192049227892802,-0.49062682453991996,0.5759275556032387,0.08530073106331869,-0.330045421645366,0.0,-0.16058140289455397,0.8633162418249696,2.8206852650068517,0.22028301886792453
cpsc,ptbxl,inceptiontime,44,4,0.4181391693511099,0.25317937280490715,0.16495979654620274,0.26092966887222757,0.16155844748964743,-0.4664961398026328,0.5255871306050498,0.059090990802416934,-0.3152815269466945,0.0,-0.15121461285593837,0.8633162418249696,3.045573315474582,0.30235849056603775
cpsc,ptbxl,inceptiontime,45,4,0.42676428550819184,0.25069288036452153,0.1760714051436703,0.2632781615343048,0.15108627162365013,-0.47885830132708024,0.5430737579346827,0.06421545660760242,-0.3203342541991182,0.0,-0.15852404712796203,0.8633162418249696,3.1687513716229683,0.25613207547169814
cpsc,ptbxl,inceptiontime,46,4,0.2973450913744153,0.1569196951698582,0.14042539620455707,0.2193925140159097,0.14027576419539017,-0.3787360505610794,0.41028425811596636,0.031548207554886964,-0.2550883999072624,0.0,-0.12364765065381697,0.8633162418249696,2.7373160485948738,0.3613207547169811
cpsc,ptbxl,resnet1d,42,4,0.41831645770174153,0.27062282137713345,0.14769363632460808,0.25844551257609716,0.15309271314088513,-0.46989802787011586,0.5318358060323967,0.0619377781622808,-0.2979126388591681,0.0,-0.1719853890109478,0.8633162418249696,2.735391419860299,0.29150943396226414
