src,tgt,arch,seed,K,T,s_hat_cal,b_hat_cal,s_true_ood,b_true_ood,pi_l1,d_obs,e_raw,e_ts,ood_acc,id_acc,dT_from_true,err_s
ptbxl,chapman,inceptiontime,44,5,1.0737596178986828,1.1025551043587334,0.18085992780814486,3.54896056709324,0.4004811616442621,0.9542237325369856,0.021080753025173565,0.18221751586890514,0.16113676284373157,0.5592592592592592,0.7089898053753475,-2.54896056709324,-2.4464054627345067
ptbxl,chapman,inceptiontime,45,5,1.0935977150684193,1.2490372664374048,-0.021073072138259232,3.8158716669951516,-0.5041684052345882,0.9542237325369856,0.02460358464941717,0.12773633481543745,0.10313275016602028,0.6130864197530864,0.7233549582947173,-2.8158716669951516,-2.566834400557747
ptbxl,chapman,inceptiontime,46,5,0.9896139822060166,0.9844196472384068,0.019838234485397083,-5.701685765139276,0.7345937569937403,0.9542237325369856,-0.0031090601092219894,0.16175915666568427,0.16486821677490626,0.4982716049382716,0.6835032437442076,6.701685765139276,6.686105412377683
ptbxl,chapman,resnet1d,42,5,1.108266135223491,1.2399446991268472,0.03036317677275651,1.9573905425776408,0.05735760138939167,0.9542237325369856,0.020528221190934157,0.10770423967161294,0.08717601848067878,0.6735802469135802,0.7395736793327155,-0.9573905425776408,-0.7174458434507935
ptbxl,chapman,resnet1d,43,5,1.1905984840602915,1.214412269766309,0.2479877453948645,4.773751743551627,-1.7109839343229807,0.9542237325369856,0.04283289533375251,0.13159173642411645,0.08875884109036394,0.6730864197530865,0.7446709916589435,-3.7737517435516272,-3.559339473785318
ptbxl,chapman,resnet1d,44,5,1.1033856277718945,1.275798668030828,-0.017524948690618325,5.847001413861347,-2.06258739527281,0.9542237325369856,0.02299051750373371,0.1422944752301699,0.11930395772643618,0.6516049382716049,0.73725671918443,-4.847001413861347,-4.571202745830519
ptbxl,chapman,resnet1d,45,5,1.1074875816050354,1.1090625725545151,0.1378561701108532,4.948696775124073,-1.0064625968214749,0.9542237325369856,0.025036190648317996,0.15201296519350121,0.12697677454518322,0.6212345679012345,0.7289156626506024,-3.9486967751240734,-3.8396342025695582
ptbxl,chapman,resnet1d,46,5,1.1729085939085804,1.2913812268059035,0.0706381247664142,5.580781436303207,-2.149768678641137,0.9542237325369856,0.035647799384825096,0.12740002251701593,0.09175222313219084,0.6651851851851852,0.7502316960148285,-4.580781436303207,-4.289400209497304
cpsc,ptbxl,inceptiontime,42,4,2.750045974462376,1.7034226713508822,1.072330552868732,2.2823179599431396,2.687398693833716,0.8645734967206188,0.2160261278361605,0.33806096910024586,0.12203484126408538,0.30518867924528303,0.5258033106134372,-1.2823179599431396,-0.5788952885922574
cpsc,ptbxl,inceptiontime,43,4,2.8206852650068517,1.2761638217111146,1.1911389432292692,1.3436050719706587,2.626119347010686,0.8645734967206188,0.23132099905325348,0.45647799187111404,0.22515699281786056,0.22028301886792453,0.5043816942551119,-0.3436050719706587,-0.06744125025954406
