src,tgt,arch,seed,T,d_obs_true,d_pred_json,inj_on_raw_sum,inj_on_raw_s,inj_on_raw_b,inj_on_raw_pi,inj_on_raw_e0,inj_on_raw_e_full,inj_on_ts_sum,inj_on_ts_s,inj_on_ts_b,inj_on_ts_pi,inj_on_ts_e0,inj_on_ts_e_full
chapman,ptbxl,inceptiontime,42,0.9843878285278691,-0.00277748147869894,0.3273191757188401,-0.12285593500853925,0.004953092512563428,0.0,-0.12780902752110268,0.3570833822118863,0.23422744720334704,-0.049783938510900294,0.0,0.0,-0.049783938510900294,0.43971122860304784,0.38992729009214755
chapman,ptbxl,inceptiontime,43,1.0389052896119755,0.008287933852170803,0.3645809859839877,-0.09472814037810123,-0.01278308715969928,0.0,-0.08194505321840195,0.3629534615419846,0.26822532116388337,-0.032375406109603655,0.0,0.0,-0.032375406109603655,0.432932054702858,0.40055664859325435
chapman,ptbxl,inceptiontime,44,1.0593890951682814,0.012419265684310232,0.353101677734372,-0.12382533530431922,-0.019131372817118603,0.0,-0.10469396248720061,0.3621269981779885,0.23830166287366927,-0.051744195365115875,0.0,0.0,-0.051744195365115875,0.4250589214526049,0.373314726087489
chapman,ptbxl,inceptiontime,45,1.1039696491394246,0.022496853658013793,0.3370625665355042,-0.12906283138568786,-0.02804492121576571,0.0,-0.10101791016992215,0.3788176453217837,0.24975481393609583,-0.054032637308233766,0.0,0.0,-0.054032637308233766,0.4424248755966103,0.38839223828837655
chapman,ptbxl,inceptiontime,46,1.074181147812797,0.0172523530994782,0.35104700605283834,-0.050034596631061024,-0.015701654029950635,0.0,-0.03433294260111039,0.35654615229390163,0.3065115556628406,-0.016284040929545662,0.0,0.0,-0.016284040929545662,0.41109335160442034,0.3948093106748747
chapman,ptbxl,resnet1d,42,1.1246112144742808,0.030552405016577244,0.3821537658676311,-0.07278709915896059,-0.025636846487863324,0.0,-0.047150252671097265,0.34565062632931753,0.27286352717035695,-0.015797501622040244,0.0,0.0,-0.015797501622040244,0.38927770329169376,0.3734802016696535
chapman,ptbxl,resnet1d,43,1.1279481087131698,0.029396794195216014,0.38902330779526306,-0.0673213048607687,-0.019536080387353882,0.0,-0.04778522447341482,0.36524395481383165,0.29792264995306295,-0.020055839282072163,0.0,0.0,-0.020055839282072163,0.4016637493398308,0.3816079100577586
chapman,ptbxl,resnet1d,44,1.0684319939700566,0.01684829323978637,0.3495263321496032,-0.10786672603315511,-0.013248740614069304,0.0,-0.09461798541908581,0.3568714047416798,0.24900467870852466,-0.06500460238851113,0.0,0.0,-0.06500460238851113,0.4068618193268776,0.34185721693836646
chapman,ptbxl,resnet1d,45,0.9878828624250616,-0.0034527458516558918,0.39746960887783594,-0.06592465663786012,0.004250022900384981,0.0,-0.0701746795382451,0.36773274827947494,0.3018080916416148,-0.020406711289766566,0.0,0.0,-0.020406711289766566,0.4397675049513523,0.41936079366158574
chapman,ptbxl,resnet1d,46,1.063524700627107,0.014855942909421521,0.4016688363193764,0.0008128245155191172,-0.010494888458214724,0.0,0.011307712973733841,0.3374410483224616,0.3382538728379807,0.0074165460101386915,0.0,0.0,0.0074165460101386915,0.3831613885571505,0.3905779345672892
cpsc,chapman,inceptiontime,42,2.750045974462376,-0.06221443773794841,0.23446772463330767,-0.11112776789510496,-0.08999420951337009,0.0,-0.021133558381734873,0.1820121356382582,0.07088436774315321,-0.042265359632214936,0.0,0.0,-0.042265359632214936,0.06140569913351158,0.019140339501296635
cpsc,chapman,inceptiontime,43,2.8206852650068517,0.06901890310285075,0.20027220021839925,-0.17596976169688613,-0.17675703986591898,0.0,0.0007872781690328335,0.2594745457021801,0.08350478400529393,-0.009026541481967215,0.0,0.0,-0.009026541481967215,0.11788215734038224,0.10885561585841502
cpsc,chapman,inceptiontime,44,2.4961144294954902,-0.07298332895512041,0.23220826737545777,-0.14847659874386498,-0.13691126636781048,0.0,-0.011565332376054518,0.18388193381169998,0.035405335067835005,0.0010363058613346993,0.0,0.0,0.0010363058613346993,0.0812970630489497,0.0823333689102844
cpsc,chapman,inceptiontime,45,3.4375648270228827,0.055065171519806735,0.2256935114486559,-0.1727633632441185,-0.15298847552893077,0.0,-0.019774887715187726,0.27641296076497507,0.10364959752085655,-0.08061277176367218,0.0,0.0,-0.08061277176367218,0.10643637980729295,0.02582360804362077
cpsc,chapman,inceptiontime,46,2.195875689458944,0.14802334243277887,0.178241504270283,-0.1638512481317035,-0.08239833859453467,0.0,-0.08145290953716883,0.2801703091912224,0.11631906105951888,-0.1660242469821256,0.0,0.0,-0.1660242469821256,0.1963350584541324,0.03031081147200683
cpsc,chapman,resnet1d,42,2.060572895694346,-0.01179510782239257,0.2117095903363742,-0.12583178351527563,-0.06725011797483027,0.0,-0.05858166554044535,0.17384390163265015,0.04801211811737452,-0.06660489627572386,0.0,0.0,-0.06660489627572386,0.11085805970800833,0.04425316343228446
cpsc,chapman,resnet1d,43,2.551371826992733,0.06385484893163369,0.24850674977122422,-0.2008705806914037,-0.16665405588542107,0.0,-0.03421652480598264,0.25259346557482737,0.05172288488342363,-0.04826693824593287,0.0,0.0,-0.04826693824593287,0.16819298766579754,0.11992604941986468
cpsc,chapman,resnet1d,44,3.129229593252759,0.10551555111313461,0.18506444276726308,-0.15796988366436954,-0.13957296204611283,0.0,-0.01839692161825672,0.2893138036184566,0.13134391995408704,-0.06619836036781176,0.0,0.0,-0.06619836036781176,0.11504833719506294,0.04884997682725117
cpsc,chapman,resnet1d,45,2.7420855896660727,-0.09748591559662302,0.2297416567191356,-0.10551147070488714,-0.08260980829598633,0.0,-0.022901662408900812,0.19232230572883624,0.0868108350239491,-0.05475171543333626,0.0,0.0,-0.05475171543333626,0.07583748386959167,0.02108576843625541
cpsc,chapman,resnet1d,46,3.1824909238724364,0.014310782067320171,0.23536381646030413,-0.13847441670658878,-0.11029651075147642,0.0,-0.028177905955112353,0.2411846930613838,0.10271027635479502,-0.09225474456975921,0.0,0.0,-0.09225474456975921,0.10518735260177947,0.01293260803202025
cpsc,ptbxl,inceptiontime,42,2.750045974462376,0.2151241192817212,0.15768413108911233,-0.40134114259324927,-0.23067243510631752,0.0,-0.17066870748693178,0.44668962213228336,0.04534847953903404,-0.2315918358461923,0.0,0.0,-0.2315918358461923,0.30278943524045765,0.07119759939426533
cpsc,ptbxl,inceptiontime,43,2.8206852650068517,0.23971200110210308,0.16192049227892802,-0.49062682453991996,-0.330045421645366,0.0,-0.16058140289455397,0.5759275556032387,0.08530073106331869,-0.3408046743765998,0.0,0.0,-0.3408046743765998,0.4206596155492765,0.07985494117267675
cpsc,ptbxl,inceptiontime,44,3.045573315474582,0.26092966887222757,0.16155844748964743,-0.4664961398026328,-0.3152815269466945,0.0,-0.15121461285593837,0.5255871306050498,0.059090990802416934,-0.26868942303961185,0.0,0.0,-0.26868942303961185,0.3688019411884389,0.10011251814882703
cpsc,ptbxl,inceptiontime,45,3.1687513716229683,0.2632781615343048,0.15108627162365013,-0.47885830132708024,-0.3203342541991182,0.0,-0.15852404712796203,0.5430737579346827,0.06421545660760242,-0.25870092633080705,0.0,0.0,-0.25870092633080705,0.3566633745465638,0.09796244821575678
cpsc,ptbxl,inceptiontime,46,2.7373160485948738,0.2193925140159097,0.14027576419539017,-0.3787360505610794,-0.2550883999072624,0.0,-0.12364765065381697,0.41028425811596636,0.031548207554886964,-0.19351057571599062,0.0,0.0,-0.19351057571599062,0.2612994746638919,0.06778889894790127
